"Data, Time of adding to the board | Время добавления на доску",Name | Имя,Price | Цена,Image | Изображение,About | Описание,Rules | Правила,Address | Адрес,Description | Описание,About the house | О доме,"Data, Time of addition to the database, table | Время добавления в базу, таблицу",Link | Ссылка
№ 2737436279 · вчера в 19:30 · 380 просмотров (+46 сегодня)Пожаловаться,Sony playstation 4 slim + игры,21 000 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4 SlimВстроенная память, ГБ: 500Цвет: Чёрный",No rules | Нет правил,"Москва, Западный административный округ, район Тропарёво-НикулиноТропарёводо 5 мин.Юго-Западная21–30 мин.Румянцевоот 31 мин.Показать карту","ОписаниеВ около идеальном состоянии, не шумит даже при нагрузках, пломбы целые, не вскрывалась, отдаю с играми (все те, что на фото, из популярных еще resident evil, батлфронт, батлфилд 1 и т.д), 1 джойстик.",---,2023-02-08 18:36:49.862564,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_playstation_4_slim_igry_2737436279
№ 2834257176 · вчера в 17:03 · 413 просмотров (+216 сегодня)Пожаловаться,Sony playstation 4 slim 1 tb,18 500 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4 SlimВстроенная память, ГБ: 1000Цвет: Чёрный",No rules | Нет правил,"Москва, Пятницкое ш., 47Пятницкое шоссе6–10 мин.Митино21–30 мин.Волоколамскаяот 31 мин.Показать карту","ОписаниеPlayStation 4 slim на 1tbСостояние хорошее, работает без проблем. Пломба на месте (консоль не вскрывали, не чистили). Бралась в августе 2019, продаётся за ненадобностью (последний год не использовалась)Любые проверкиБез обмена",---,2023-02-08 18:36:53.528785,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_playstation_4_slim_1_tb_2834257176
№ 2900455561 · 6 февраля в 19:56 · 171 просмотр (+43 сегодня)Пожаловаться,Ps 4 slim прошитая,27 000 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4 SlimВстроенная память, ГБ: 500Цвет: Другой",No rules | Нет правил,"Москва, Дмитровское ш.Селигерскаядо 5 мин.Верхние Лихоборы16–20 мин.Лихоборыот 31 мин.Показать карту","Описаниепродаю консоль вместе с джостиком.версия прошивки 6.72не нужно вставлять флешку каждый раз, просто заходишь в браузер и играешь. Есть царапки на корпусено консоле уже устоновлены последний годоф вар и колда.Можно скачать любые игры",---,2023-02-08 18:36:57.459163,https://www.avito.ru/moskva/igry_pristavki_i_programmy/ps_4_slim_proshitaya_2900455561
№ 2808640168 · вчера в 06:18 · 35 просмотров (+8 сегодня)Пожаловаться,Sony Playstation 4 PRO,32 000 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony Playstation 4 ProВстроенная память, ГБ: 1000Цвет: Чёрный",No rules | Нет правил,"Москва, Дубнинская ул., 20к3Селигерская16–20 мин.Верхние Лихоборы21–30 мин.Окружнаяот 31 мин.Показать карту",ОписаниеПриставка в Отличном состоянии! Консоли меньше 2-ух лет. Хозяин один! В комплекте: 1) Консоль ( rev. CUH-7216B);2) 2 геймпада;3) Зарядка для геймпадов.,---,2023-02-08 18:37:01.156452,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_playstation_4_pro_2808640168
№ 2784769902 · сегодня в 02:14 · 171 просмотр (+171 сегодня)Пожаловаться,Sony playstation 4 PS4 slim,19 000 ₽ ,---,ХарактеристикиСостояние: Б/у,No rules | Нет правил,"Москва, Каширское ш., 65к1Домодедовская11–15 мин.Зябликово21–30 мин.Красногвардейская21–30 мин.Показать карту","ОписаниеПродаю свою приставку, так как купил себе PS 5. Состояние отличное, покупалась в 2019 году. Больше года не использовал. В комплекте: кабель питание, шнур для зарядки джойстика и отдам годовую подписку Extra с турецким аккаунтом. По всем вопросам пишите, звоните с 11-22",---,2023-02-08 18:37:04.760925,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_playstation_4_ps4_slim_2784769902
№ 2798151982 · сегодня в 11:03 · 36 просмотров (+36 сегодня)Пожаловаться,Ps4 slim 1tb,25 000 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4 SlimВстроенная память, ГБ: 1000Цвет: Чёрный",No rules | Нет правил,"Москва, Большая Набережная ул., 5Тушинская11–15 мин.Спартак21–30 мин.Щукинская21–30 мин.Показать карту","ОписаниеНе прошитая, не чипованая и тд.",---,2023-02-08 18:37:08.422885,https://www.avito.ru/moskva/igry_pristavki_i_programmy/ps4_slim_1tb_2798151982
№ 2813655021 · сегодня в 13:02 · 18 просмотров (+18 сегодня)Пожаловаться,Sony Playstation 4 pro 1tb,35 500 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony Playstation 4 ProВстроенная память, ГБ: 1000Цвет: Чёрный",No rules | Нет правил,"Москва, ул. 800-летия МосквыСелигерская16–20 мин.Верхние Лихоборыот 31 мин.Алтуфьевоот 31 мин.Показать карту","ОписаниеПродам приставку в практически новом состоянии. Заводской комплект + 1 джостик и 1 игра. Практически не играл, храню в коробке. Причина продажи нету времени играть.",---,2023-02-08 18:37:15.721843,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_playstation_4_pro_1tb_2813655021
№ 2664449949 · вчера в 18:33 · 1078 просмотров (+6 сегодня)Пожаловаться,PlayStation 4,19 000 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4Встроенная память, ГБ: 500Цвет: Чёрный",No rules | Нет правил,"Москва, Арбатско-Покровская линияСлавянский бульвардо 5 мин.Пионерская11–15 мин.Филёвский парк21–30 мин.Показать карту","ОписаниеПолный комплект, за исключением кабеля зарядки геймпада, вместо него отдам фирменную зарядную станцию.Первая ревизия, есть чек от 03.12.2013Последняя версия ПОВсе в рабочем состоянии.В подарок диск с игрой.Без торга",---,2023-02-08 18:37:19.374955,https://www.avito.ru/moskva/igry_pristavki_i_programmy/playstation_4_2664449949
№ 2779360993 · сегодня в 14:20 · 6 просмотров (+6 сегодня)Пожаловаться,Sony ps4 500gb,26 000 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4Встроенная память, ГБ: 500Цвет: Чёрный",No rules | Нет правил,"Москва, Люблинско-Дмитровская линияЛюблинодо 5 мин.Волжская21–30 мин.Братиславская21–30 мин.Показать карту","ОписаниеПродаю ps 4 в комплекте игру (на фото), кабель питания, HDMI и геймпад.Возможен обмен на прошиту Nintendo switch",---,2023-02-08 18:37:23.047252,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_ps4_500gb_2779360993
№ 2547760158 · 1 февраля в 19:04 · 7085 просмотров (+80 сегодня)Пожаловаться,Sony PS4 pro 1tb,24 000 ₽ ,---,ХарактеристикиСостояние: Б/у,No rules | Нет правил,"Москва, пр-т Вернадского, 6Вс10Университетдо 5 мин.Ломоносовский проспект21–30 мин.Проспект Вернадского21–30 мин.Показать карту","ОписаниеИгровая приставка в отличном состоянии.Брал новую, играл мало - учился, теперь играть не могу совсем.Имеется дисковод, все гнёзда рабочие.70 ревизия.Геймпадом вообще пользовался только пару раз, ход кнопок как с конвейера.Наклейки при желании можете снять.Цена без торга",---,2023-02-08 18:41:13.786105,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_ps4_pro_1tb_2547760158
№ 2790106184 · вчера в 14:18 · 105 просмотров (+37 сегодня)Пожаловаться,Sony playstation 4,21 990 ₽ ,---,ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4,No rules | Нет правил,"Московская область, Люберцы, ул. Кирова, 5Жулебино11–15 мин.Лермонтовский проспект16–20 мин.Косино21–30 мин.Показать карту","ОписаниеSony PlayStation 4, в отличном состоянии, не забанена, полностью рабочая, слегка шумит при тяжелых играх, проверить можно у меня дома, комплект, ps4, все провода для подключения, джойстик, игры на приставке. Торг",---,2023-02-08 18:41:24.312699,https://www.avito.ru/lyubertsy/igry_pristavki_i_programmy/sony_playstation_4_2790106184?slocation=637640
№ 2737436279 · вчера в 17:30 · 380 просмотров (+46 сегодня)Пожаловаться,Sony playstation 4 slim + игры,21 000 ₽ ,---,"ХарактеристикиСостояние: Б/уМодель: Sony PlayStation 4 SlimВстроенная память, ГБ: 500Цвет: Чёрный",No rules | Нет правил,"Москва, Западный административный округ, район Тропарёво-НикулиноТропарёводо 5 мин.Юго-Западная21–30 мин.Румянцевоот 31 мин.Показать карту","ОписаниеВ около идеальном состоянии, не шумит даже при нагрузках, пломбы целые, не вскрывалась, отдаю с играми (все те, что на фото, из популярных еще resident evil, батлфронт, батлфилд 1 и т.д), 1 джойстик.",---,2023-02-08 18:41:37.424117,https://www.avito.ru/moskva/igry_pristavki_i_programmy/sony_playstation_4_slim_igry_2737436279
